Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
136,Charleston Southern,Big South,14-10,14,10,31-22,31,22,203,14-10,14,10,115,163,15-10,15,10,13-10,13,10,3-2,3,2,0-0,0,0,3-7,3,7,9-8,9,8,19-7,19,7
137,Holy Cross,Patriot League,17-8,17,8,31-27,31,27,208,10-16,10,16,166,170,11-7,11,7,16-18,16,18,4-2,4,2,1-3,1,3,0-4,0,4,9-8,9,8,21-12,21,12
138,Yale,Ivy League,16-5,16,5,31-14,31,14,286,14-7,14,7,114,273,14-4,14,4,16-8,16,8,1-2,1,2,0-0,0,0,0-3,0,3,9-7,9,7,22-4,22,4
139,Jacksonville,ASUN,17-13,17,13,30-26,30,26,152,11-11,11,11,111,52,20-9,20,9,8-15,8,15,2-2,2,2,0-5,0,5,0-6,0,6,7-10,7,10,23-5,23,5
140,Richmond,Atlantic 10,14-16,14,16,33-19,33,19,243,19-3,19,3,50,233,20-10,20,10,13-9,13,9,0-0,0,0,1-0,1,0,2-2,2,2,8-8,8,8,22-9,22,9
141,Arkansas State,Sun Belt,14-16,14,16,26-28,26,28,105,12-11,12,11,175,205,18-11,18,11,8-16,8,16,0-1,0,1,1-10,1,10,1-5,1,5,8-5,8,5,16-8,16,8
142,New Mexico,Mountain West,17-13,17,13,30-23,30,23,190,13-9,13,9,122,173,19-8,19,8,9-13,9,13,2-2,2,2,0-2,0,2,0-3,0,3,14-10,14,10,16-8,16,8
143,Michigan State,Big Ten,13-17,13,17,28-27,28,27,138,15-8,15,8,184,299,11-10,11,10,6-12,6,12,11-5,11,5,3-6,3,6,3-10,3,10,1-3,1,3,21-8,21,8
144,Bowling Green,Mid-American,19-11,19,11,31-22,31,22,246,12-9,12,9,120,237,12-8,12,8,18-11,18,11,1-3,1,3,0-2,0,2,1-3,1,3,10-11,10,11,20-6,20,6
145,Southern Indiana,Ohio Valley,15-12,15,12,27-29,27,29,162,12-16,12,16,121,98,12-5,12,5,11-21,11,21,4-3,4,3,0-1,0,1,1-9,1,9,12-12,12,12,14-7,14,7
146,UNLV,Mountain West,16-14,16,14,31-23,31,23,207,15-8,15,8,75,127,19-7,19,7,8-13,8,13,4-3,4,3,0-2,0,2,5-4,5,4,6-11,6,11,20-6,20,6
147,Saint Louis,Atlantic 10,18-12,18,12,32-26,32,26,205,12-12,12,12,212,263,18-7,18,7,11-16,11,16,3-3,3,3,0-0,0,0,1-10,1,10,11-8,11,8,20-8,20,8
148,Georgia Southern,Sun Belt,13-17,13,17,28-31,28,31,106,14-12,14,12,101,82,20-11,20,11,7-17,7,17,1-3,1,3,0-9,0,9,1-4,1,4,9-12,9,12,18-6,18,6
149,Missouri,SEC,3-27,3,27,16-39,16,39,10,13-11,13,11,170,185,8-20,8,20,4-15,4,15,4-4,4,4,3-26,3,26,1-6,1,6,2-2,2,2,10-5,10,5
150,Gonzaga,West Coast,16-8,16,8,26-27,26,27,181,10-17,10,17,152,113,9-9,9,9,17-16,17,16,0-2,0,2,1-7,1,7,4-2,4,2,10-12,10,12,11-6,11,6
151,Stony Brook,Coastal Athletic,11-16,11,16,25-27,25,27,144,14-11,14,11,84,90,13-11,13,11,12-16,12,16,0-0,0,0,0-3,0,3,1-7,1,7,10-6,10,6,14-11,14,11
152,UC Davis,Big West,13-17,13,17,27-28,27,28,143,14-11,14,11,131,181,15-13,15,13,12-15,12,15,0-0,0,0,1-9,1,9,1-5,1,5,7-6,7,6,18-8,18,8
153,UNCG,Southern,9-12,9,12,21-33,21,33,56,12-20,12,20,189,75,14-17,14,17,7-15,7,15,0-1,0,1,3-6,3,6,5-13,5,13,3-5,3,5,10-9,10,9
154,Nevada,Mountain West,19-11,19,11,33-23,33,23,253,13-10,13,10,199,282,18-9,18,9,14-12,14,12,1-2,1,2,0-0,0,0,2-5,2,5,12-9,12,9,19-9,19,9
155,UC San Diego,Big West,15-15,15,15,26-25,26,25,189,11-10,11,10,197,272,15-9,15,9,11-16,11,16,0-0,0,0,3-6,3,6,6-3,6,3,4-6,4,6,13-10,13,10
156,Delaware,Coastal Athletic,12-15,12,15,28-25,28,25,196,16-10,16,10,103,203,16-11,16,11,12-14,12,14,0-0,0,0,0-3,0,3,2-6,2,6,8-5,8,5,18-11,18,11
157,Long Beach State,Big West,15-15,15,15,22-31,22,31,93,7-16,7,16,222,74,11-15,11,15,8-15,8,15,3-1,3,1,4-9,4,9,1-6,1,6,4-8,4,8,13-8,13,8
158,Utah Valley,Western Athletic,13-11,13,11,29-29,29,29,218,11-16,11,16,204,243,8-10,8,10,17-17,17,17,4-2,4,2,1-2,1,2,2-2,2,2,2-13,2,13,24-12,24,12
159,South Alabama,Sun Belt,12-18,12,18,23-28,23,28,114,11-10,11,10,133,128,17-10,17,10,6-17,6,17,0-1,0,1,2-4,2,4,3-6,3,6,3-11,3,11,15-7,15,7
160,Loyola-Marymount,West Coast,14-10,14,10,29-29,29,29,173,13-17,13,17,156,96,15-13,15,13,12-14,12,14,2-2,2,2,1-2,1,2,2-11,2,11,6-8,6,8,20-8,20,8
161,Illinois State,Missouri Valley,15-12,15,12,28-28,28,28,209,12-14,12,14,117,142,14-8,14,8,13-18,13,18,1-2,1,2,1-4,1,4,2-2,2,2,11-11,11,11,14-11,14,11
162,Indiana State,Missouri Valley,12-15,12,15,24-31,24,31,141,12-15,12,15,90,40,8-10,8,10,12-13,12,13,4-8,4,8,1-5,1,5,2-2,2,2,10-11,10,11,11-13,11,13
163,Texas A&M-Corpus Christi,Southland,12-18,12,18,21-29,21,29,88,8-9,8,9,203,169,13-14,13,14,7-13,7,13,1-2,1,2,1-2,1,2,4-16,4,16,5-8,5,8,11-3,11,3
164,UTA,Western Athletic,11-13,11,13,21-33,21,33,94,8-18,8,18,162,25,11-13,11,13,8-18,8,18,2-2,2,2,3-8,3,8,2-5,2,5,7-8,7,8,9-12,9,12
165,Saint Joseph's,Atlantic 10,17-13,17,13,24-28,24,28,145,7-13,7,13,245,177,14-10,14,10,9-14,9,14,1-4,1,4,0-2,0,2,1-6,1,6,8-8,8,8,15-12,15,12
166,UAB,American Athletic,8-19,8,19,24-30,24,30,109,16-11,16,11,109,149,15-13,15,13,4-15,4,15,5-2,5,2,3-6,3,6,1-7,1,7,6-16,6,16,14-1,14,1
167,Wichita State,American Athletic,11-16,11,16,19-35,19,35,50,8-17,8,17,169,34,14-13,14,13,5-19,5,19,0-3,0,3,1-11,1,11,3-11,3,11,4-7,4,7,11-6,11,6
168,UIC,Missouri Valley,16-11,16,11,21-33,21,33,116,3-20,3,20,232,31,11-7,11,7,8-24,8,24,2-2,2,2,1-9,1,9,0-9,0,9,4-8,4,8,16-7,16,7
169,Binghamton,America East,13-11,13,11,29-26,29,26,251,12-12,12,12,165,234,13-6,13,6,11-18,11,18,5-2,5,2,0-3,0,3,0-4,0,4,9-7,9,7,20-12,20,12
170,Penn,Ivy League,13-8,13,8,21-20,21,20,217,8-10,8,10,116,102,11-7,11,7,9-11,9,11,1-2,1,2,0-6,0,6,0-1,0,1,4-5,4,5,17-8,17,8
171,Long Island,Northeast,24-6,24,6,35-23,35,23,287,8-15,8,15,174,146,14-4,14,4,15-17,15,17,6-2,6,2,0-7,0,7,1-0,1,0,2-6,2,6,32-10,32,10
172,New Mexico State,Conference USA,11-15,11,15,23-33,23,33,111,12-16,12,16,227,197,14-14,14,14,9-17,9,17,0-2,0,2,2-8,2,8,3-11,3,11,4-6,4,6,14-8,14,8
173,North Florida,ASUN,15-15,15,15,27-29,27,29,160,12-12,12,12,144,97,18-13,18,13,9-14,9,14,0-2,0,2,0-3,0,3,1-7,1,7,6-8,6,8,20-11,20,11
174,Missouri State,Missouri Valley,17-8,17,8,30-25,30,25,252,10-15,10,15,233,219,19-7,19,7,8-16,8,16,3-2,3,2,1-5,1,5,1-2,1,2,5-10,5,10,23-8,23,8
175,Sacramento State,Western Athletic,15-9,15,9,32-26,32,26,224,16-15,16,15,234,252,20-14,20,14,11-10,11,10,1-2,1,2,0-1,0,1,2-2,2,2,10-9,10,9,20-14,20,14
176,Seton Hall,Big East,10-11,10,11,24-30,24,30,161,14-19,14,19,202,190,16-7,16,7,7-21,7,21,1-2,1,2,2-8,2,8,3-8,3,8,5-6,5,6,14-8,14,8
177,Davidson,Atlantic 10,18-12,18,12,27-29,27,29,182,7-15,7,15,278,196,16-11,16,11,9-15,9,15,2-3,2,3,0-5,0,5,0-3,0,3,9-8,9,8,18-13,18,13
178,Portland,West Coast,13-11,13,11,22-30,22,30,146,9-18,9,18,168,50,12-11,12,11,10-17,10,17,0-2,0,2,2-5,2,5,3-4,3,4,4-13,4,13,13-8,13,8
179,San Jose State,Mountain West,13-17,13,17,29-30,29,30,193,13-11,13,11,164,186,17-13,17,13,9-15,9,15,3-2,3,2,0-2,0,2,2-3,2,3,10-13,10,13,17-12,17,12
180,Winthrop,Big South,13-11,13,11,31-29,31,29,206,16-16,16,16,192,182,22-11,22,11,7-14,7,14,2-4,2,4,1-2,1,2,1-8,1,8,3-11,3,11,26-8,26,8
181,Central Connecticut,Northeast,23-7,23,7,31-17,31,17,291,5-7,5,7,158,118,15-5,15,5,13-10,13,10,3-2,3,2,0-2,0,2,0-2,0,2,4-3,4,3,27-10,27,10
182,Georgia State,Sun Belt,11-19,11,19,26-30,26,30,153,15-11,15,11,176,222,18-16,18,16,8-14,8,14,0-0,0,0,1-9,1,9,1-4,1,4,8-9,8,9,16-8,16,8
183,Southeast Missouri,Ohio Valley,16-11,16,11,30-25,30,25,257,14-13,14,13,207,266,18-9,18,9,10-14,10,14,2-2,2,2,1-3,1,3,0-0,0,0,7-10,7,10,22-12,22,12
184,ULM,Sun Belt,8-22,8,22,22-33,22,33,112,14-11,14,11,118,140,15-15,15,15,7-18,7,18,0-0,0,0,1-10,1,10,1-5,1,5,6-8,6,8,14-10,14,10
185,Appalachian State,Sun Belt,13-17,13,17,23-31,23,31,126,10-13,10,13,223,167,17-12,17,12,6-17,6,17,0-2,0,2,0-9,0,9,3-8,3,8,5-7,5,7,15-7,15,7
186,Sacred Heart,MAAC,17-13,17,13,28-26,28,26,262,10-11,10,11,187,270,15-5,15,5,12-19,12,19,1-2,1,2,0-0,0,0,2-10,2,10,0-4,0,4,26-12,26,12
187,SIUE,Ohio Valley,18-8,18,8,26-28,26,28,213,8-18,8,18,257,210,10-15,10,15,14-11,14,11,2-2,2,2,0-3,0,3,2-2,2,2,13-7,13,7,11-16,11,16
188,Abilene Christian,Western Athletic,15-9,15,9,34-23,34,23,270,16-12,16,12,258,303,17-12,17,12,12-6,12,6,5-5,5,5,1-0,1,0,0-2,0,2,8-12,8,12,25-9,25,9
189,Army,Patriot League,14-11,14,11,25-25,25,25,241,9-11,9,11,198,200,13-6,13,6,9-14,9,14,3-5,3,5,0-1,0,1,0-3,0,3,8-11,8,11,17-10,17,10
190,Villanova,Big East,6-15,6,15,22-28,22,28,167,16-13,16,13,124,180,11-13,11,13,10-13,10,13,1-2,1,2,0-4,0,4,4-13,4,13,4-4,4,4,14-7,14,7
191,George Washington,Atlantic 10,14-16,14,16,27-27,27,27,214,13-11,13,11,209,255,17-13,17,13,10-14,10,14,0-0,0,0,0-3,0,3,2-1,2,1,3-10,3,10,22-13,22,13
192,Dayton,Atlantic 10,14-16,14,16,27-31,27,31,192,12-13,12,13,225,247,16-10,16,10,8-17,8,17,3-4,3,4,0-4,0,4,1-5,1,5,2-7,2,7,24-15,24,15
193,Monmouth,Coastal Athletic,10-17,10,17,24-30,24,30,194,14-13,14,13,153,230,11-9,11,9,10-17,10,17,3-4,3,4,0-0,0,0,2-14,2,14,4-9,4,9,18-7,18,7
194,Fordham,Atlantic 10,15-15,15,15,25-33,25,33,172,10-16,10,16,216,158,13-12,13,12,11-16,11,16,1-5,1,5,0-3,0,3,2-6,2,6,7-13,7,13,16-11,16,11
195,Maine,America East,13-11,13,11,19-30,19,30,188,6-18,6,18,220,162,7-5,7,5,12-24,12,24,0-1,0,1,0-3,0,3,3-8,3,8,8-12,8,12,8-7,8,7
196,Bethune-Cookman,SWAC,24-5,24,5,37-23,37,23,285,9-16,9,16,276,228,23-10,23,10,10-12,10,12,4-1,4,1,0-4,0,4,0-2,0,2,3-4,3,4,34-13,34,13
197,Omaha,The Summit League,12-16,12,16,20-30,20,30,147,7-12,7,12,71,3,10-12,10,12,9-15,9,15,1-3,1,3,3-5,3,5,1-8,1,8,4-4,4,4,12-13,12,13
198,Nicholls,Southland,10-20,10,20,17-32,17,32,79,7-12,7,12,201,106,14-10,14,10,2-21,2,21,1-1,1,1,1-6,1,6,1-15,1,15,2-6,2,6,13-5,13,5
199,North Alabama,ASUN,16-14,16,14,24-31,24,31,210,7-15,7,15,167,54,10-6,10,6,8-19,8,19,6-6,6,6,0-7,0,7,0-4,0,4,5-11,5,11,19-9,19,9
200,Middle Tennessee,Conference USA,8-19,8,19,23-32,23,32,127,15-13,15,13,195,212,19-13,19,13,4-19,4,19,0-0,0,0,3-8,3,8,0-5,0,5,3-8,3,8,17-11,17,11
201,James Madison,Sun Belt,10-20,10,20,17-38,17,38,76,7-18,7,18,200,41,9-17,9,17,8-21,8,21,0-0,0,0,0-9,0,9,5-9,5,9,4-11,4,11,8-9,8,9
202,Lindenwood,Ohio Valley,14-12,14,12,27-30,27,30,244,10-16,10,16,255,264,13-9,13,9,11-19,11,19,3-2,3,2,0-6,0,6,1-2,1,2,7-12,7,12,19-10,19,10
203,NJIT,America East,14-10,14,10,27-26,27,26,261,13-14,13,14,208,258,17-6,17,6,10-18,10,18,0-2,0,2,0-0,0,0,1-7,1,7,5-11,5,11,21-8,21,8
204,Northern Kentucky,Horizon League,18-12,18,12,31-25,31,25,284,12-11,12,11,112,157,15-7,15,7,12-16,12,16,4-2,4,2,0-6,0,6,3-4,3,4,3-5,3,5,25-10,25,10
205,Little Rock,Ohio Valley,8-16,8,16,27-34,27,34,191,11-16,11,16,206,160,11-17,11,17,9-17,9,17,7-0,7,0,3-4,3,4,1-0,1,0,6-15,6,15,17-15,17,15
206,Bucknell,Patriot League,10-15,10,15,18-27,18,27,215,8-12,8,12,134,139,5-9,5,9,13-18,13,18,0-0,0,0,2-2,2,2,0-3,0,3,8-9,8,9,8-13,8,13
207,California Baptist,Western Athletic,12-12,12,12,30-27,30,27,247,18-14,18,14,219,260,21-13,21,13,9-11,9,11,0-3,0,3,0-1,0,1,2-3,2,3,6-7,6,7,22-16,22,16
208,Marist,MAAC,14-14,14,14,26-28,26,28,260,9-12,9,12,221,268,9-9,9,9,14-15,14,15,3-4,3,4,0-2,0,2,0-0,0,0,9-14,9,14,17-12,17,12
209,Cal State Northridge,Big West,10-20,10,20,15-34,15,34,90,5-14,5,14,214,60,6-18,6,18,9-16,9,16,0-0,0,0,0-10,0,10,1-6,1,6,10-12,10,12,4-6,4,6
210,Rice,American Athletic,10-17,10,17,17-40,17,40,64,7-21,7,21,254,86,11-18,11,18,6-14,6,14,0-8,0,8,0-7,0,7,3-14,3,14,8-12,8,12,6-7,6,7
211,Stephen F. Austin,Southland,9-21,9,21,17-31,17,31,122,8-10,8,10,226,239,10-11,10,11,7-16,7,16,0-4,0,4,0-3,0,3,3-8,3,8,4-14,4,14,10-6,10,6
212,Hofstra,Coastal Athletic,8-19,8,19,18-36,18,36,120,10-17,10,17,181,120,8-13,8,13,7-22,7,22,3-1,3,1,0-10,0,10,3-5,3,5,5-10,5,10,10-11,10,11
213,Elon,Coastal Athletic,13-14,13,14,25-32,25,32,187,11-16,11,16,224,138,15-16,15,16,9-14,9,14,1-2,1,2,0-6,0,6,2-4,2,4,7-13,7,13,16-9,16,9
214,Lipscomb,ASUN,17-13,17,13,25-30,25,30,211,8-15,8,15,179,44,15-15,15,15,10-12,10,12,0-3,0,3,0-5,0,5,3-7,3,7,3-6,3,6,19-12,19,12
215,Santa Clara,West Coast,7-17,7,17,20-30,20,30,170,13-13,13,13,100,77,12-13,12,13,7-17,7,17,1-0,1,0,0-6,0,6,3-3,3,3,7-8,7,8,10-13,10,13
216,Memphis,American Athletic,8-19,8,19,22-33,22,33,133,14-14,14,14,217,218,17-17,17,17,5-16,5,16,0-0,0,0,0-9,0,9,4-3,4,3,2-13,2,13,16-8,16,8
217,Radford,Big South,13-11,13,11,28-28,28,28,264,14-15,14,15,241,284,14-12,14,12,13-14,13,14,1-2,1,2,2-3,2,3,3-0,3,0,2-8,2,8,21-17,21,17
218,Tarleton State,Western Athletic,12-12,12,12,24-32,24,32,175,12-19,12,19,243,156,19-14,19,14,5-17,5,17,0-1,0,1,0-2,0,2,0-8,0,8,4-10,4,10,20-12,20,12
219,Air Force,Mountain West,12-18,12,18,20-34,20,34,159,8-16,8,16,215,132,13-9,13,9,5-24,5,24,2-1,2,1,0-7,0,7,2-2,2,2,3-13,3,13,15-12,15,12
220,William & Mary,Coastal Athletic,14-13,14,13,21-35,21,35,134,7-20,7,20,271,129,14-17,14,17,7-15,7,15,0-3,0,3,0-7,0,7,1-7,1,7,5-7,5,7,15-14,15,14
221,San Francisco,West Coast,9-15,9,15,26-30,26,30,219,17-14,17,14,160,168,18-15,18,15,8-14,8,14,0-1,0,1,0-0,0,0,2-2,2,2,7-16,7,16,17-12,17,12
222,Florida A&M,SWAC,24-6,24,6,33-25,33,25,289,6-17,6,17,270,144,17-10,17,10,11-11,11,11,5-4,5,4,0-2,0,2,1-4,1,4,3-8,3,8,29-11,29,11
223,Saint Bonaventure,Atlantic 10,11-19,11,19,20-29,20,29,222,9-10,9,10,186,267,9-8,9,8,8-19,8,19,3-2,3,2,0-4,0,4,1-3,1,3,5-10,5,10,14-12,14,12
224,Western Illinois,Ohio Valley,9-18,9,18,17-32,17,32,177,8-14,8,14,154,109,8-8,8,8,9-22,9,22,0-2,0,2,2-1,2,1,1-3,1,3,6-19,6,19,8-9,8,9
225,Western Michigan,Mid-American,12-18,12,18,19-32,19,32,176,7-14,7,14,180,105,13-7,13,7,6-21,6,21,0-4,0,4,1-6,1,6,1-9,1,9,1-7,1,7,16-10,16,10
226,Alabama State,SWAC,21-9,21,9,31-29,31,29,281,8-18,8,18,248,154,14-13,14,13,12-14,12,14,5-2,5,2,0-4,0,4,1-1,1,1,2-10,2,10,28-14,28,14
227,Central Michigan,Mid-American,11-19,11,19,17-35,17,35,179,6-16,6,16,185,130,5-11,5,11,12-24,12,24,0-0,0,0,0-4,0,4,2-8,2,8,3-11,3,11,12-12,12,12
228,VMI,Southern,6-15,6,15,27-26,27,26,272,21-10,21,10,236,307,15-13,15,13,11-12,11,12,1-1,1,1,0-0,0,0,3-10,3,10,3-9,3,9,21-7,21,7
229,Belmont,Missouri Valley,13-14,13,14,25-34,25,34,223,10-18,10,18,256,214,13-14,13,14,10-18,10,18,2-2,2,2,0-2,0,2,0-8,0,8,6-16,6,16,19-8,19,8
230,Milwaukee,Horizon League,16-13,16,13,22-35,22,35,225,3-20,3,20,272,85,10-7,10,7,9-25,9,25,3-3,3,3,0-5,0,5,2-10,2,10,4-11,4,11,16-9,16,9
231,Harvard,Ivy League,9-12,9,12,14-28,14,28,148,3-14,3,14,231,32,7-7,7,7,5-12,5,12,2-9,2,9,0-7,0,7,0-3,0,3,2-11,2,11,12-7,12,7
232,Ohio State,Big Ten,5-25,5,25,13-37,13,37,58,8-12,8,12,178,61,11-15,11,15,1-17,1,17,1-5,1,5,3-11,3,11,0-8,0,8,4-10,4,10,6-8,6,8
233,Albany,America East,10-14,10,14,22-32,22,32,255,10-16,10,16,265,294,7-12,7,12,13-18,13,18,2-2,2,2,0-0,0,0,0-3,0,3,8-12,8,12,14-17,14,17
234,Manhattan,MAAC,12-15,12,15,20-28,20,28,268,8-13,8,13,239,295,7-8,7,8,13-20,13,20,0-0,0,0,0-3,0,3,0-2,0,2,4-13,4,13,16-10,16,10
235,Eastern Michigan,Mid-American,12-18,12,18,21-31,21,31,256,8-11,8,11,237,291,5-12,5,12,15-14,15,14,1-5,1,5,0-1,0,1,1-3,1,3,7-14,7,14,13-13,13,13
236,Washington State,Mountain West,11-19,11,19,18-36,18,36,150,7-17,7,17,196,68,12-9,12,9,3-24,3,24,3-3,3,3,0-7,0,7,3-4,3,4,3-15,3,15,12-10,12,10
237,San Diego State,Mountain West,14-16,14,16,20-39,20,39,142,5-21,5,21,282,123,12-17,12,17,6-18,6,18,2-4,2,4,0-1,0,1,0-9,0,9,7-15,7,15,13-14,13,14
238,Lehigh,Patriot League,11-14,11,14,23-26,23,26,269,11-10,11,10,218,277,13-11,13,11,9-13,9,13,1-2,1,2,0-3,0,3,0-1,0,1,5-7,5,7,18-15,18,15
239,Tennessee-Martin,Ohio Valley,11-14,11,14,18-34,18,34,185,7-19,7,19,244,151,9-12,9,12,8-19,8,19,1-3,1,3,0-6,0,6,1-2,1,2,8-14,8,14,9-12,9,12
240,Incarnate Word,Southland,3-27,3,27,17-33,17,33,165,14-6,14,6,148,296,9-17,9,17,8-16,8,16,0-0,0,0,3-4,3,4,0-6,0,6,3-18,3,18,11-5,11,5
241,Navy,Patriot League,14-11,14,11,26-25,26,25,277,11-12,11,12,281,297,17-12,17,12,7-9,7,9,2-4,2,4,0-0,0,0,0-1,0,1,5-7,5,7,21-17,21,17
242,Cal State Bakersfield,Big West,9-21,9,21,16-38,16,38,157,7-17,7,17,267,224,6-16,6,16,10-22,10,22,0-0,0,0,1-6,1,6,2-9,2,9,6-10,6,10,7-13,7,13
243,Bradley,Missouri Valley,12-15,12,15,16-35,16,35,186,4-19,4,19,269,125,5-7,5,7,7-22,7,22,4-6,4,6,0-3,0,3,0-11,0,11,5-11,5,11,11-10,11,10
244,Wagner,Northeast,23-7,23,7,31-22,31,22,298,7-13,7,13,283,279,16-6,16,6,13-12,13,12,2-4,2,4,0-0,0,0,0-1,0,1,1-6,1,6,30-15,30,15
245,West Georgia,ASUN,11-19,11,19,20-31,20,31,220,9-12,9,12,193,135,11-16,11,16,9-15,9,15,0-0,0,0,0-4,0,4,1-3,1,3,6-12,6,12,13-12,13,12
246,Northern Illinois,Mid-American,9-21,9,21,21-33,21,33,259,12-12,12,12,177,280,6-12,6,12,14-19,14,19,1-2,1,2,0-1,0,1,2-8,2,8,10-7,10,7,9-17,9,17
247,VCU,Atlantic 10,10-20,10,20,17-37,17,37,154,7-17,7,17,249,150,8-19,8,19,8-18,8,18,1-0,1,0,0-4,0,4,2-3,2,3,3-19,3,19,12-11,12,11
248,Mount Saint Mary's,MAAC,15-13,15,13,23-28,23,28,282,8-14,8,14,262,276,9-10,9,10,14-15,14,15,0-3,0,3,0-0,0,0,1-9,1,9,1-2,1,2,21-17,21,17
249,Sam Houston State,Conference USA,6-21,6,21,12-43,12,43,57,6-22,6,22,253,59,9-21,9,21,2-19,2,19,1-3,1,3,1-15,1,15,0-4,0,4,6-10,6,10,5-14,5,14
250,Utah Tech,Western Athletic,9-15,9,15,24-31,24,31,239,14-14,14,14,251,269,17-15,17,15,6-14,6,14,1-2,1,2,0-2,0,2,1-0,1,0,7-15,7,15,16-14,16,14
251,UC Riverside,Big West,5-25,5,25,16-36,16,36,156,11-11,11,11,182,215,9-18,9,18,7-18,7,18,0-0,0,0,0-6,0,6,0-0,0,0,5-13,5,13,11-17,11,17
252,North Carolina A&T,Coastal Athletic,9-18,9,18,15-37,15,37,128,6-19,6,19,280,175,11-13,11,13,4-23,4,23,0-1,0,1,0-8,0,8,2-2,2,2,2-17,2,17,11-10,11,10
253,Lafayette,Patriot League,9-16,9,16,14-35,14,35,164,5-19,5,19,250,101,6-12,6,12,7-22,7,22,1-1,1,1,0-7,0,7,1-0,1,0,5-14,5,14,8-14,8,14
254,UNC Asheville,Big South,8-16,8,16,15-35,15,35,166,7-19,7,19,247,110,8-14,8,14,7-21,7,21,0-0,0,0,0-6,0,6,2-11,2,11,2-8,2,8,11-10,11,10
255,Siena,MAAC,17-13,17,13,22-32,22,32,273,5-17,5,17,289,257,9-9,9,9,12-18,12,18,1-5,1,5,0-2,0,2,1-5,1,5,3-9,3,9,18-16,18,16
256,Niagara,MAAC,14-15,14,15,19-27,19,27,275,5-11,5,11,273,256,10-7,10,7,9-15,9,15,0-5,0,5,0-3,0,3,1-2,1,2,1-10,1,10,17-12,17,12
257,Cornell,Ivy League,7-14,7,14,12-22,12,22,263,5-8,5,8,159,188,3-6,3,6,9-14,9,14,0-2,0,2,1-2,1,2,1-2,1,2,3-7,3,7,7-11,7,11
258,Towson,Coastal Athletic,11-16,11,16,21-35,21,35,229,10-19,10,19,292,285,12-13,12,13,6-17,6,17,3-5,3,5,1-3,1,3,0-2,0,2,5-15,5,15,15-15,15,15
259,Bellarmine,ASUN,11-19,11,19,17-38,17,38,202,6-19,6,19,205,70,10-9,10,9,7-26,7,26,0-3,0,3,1-5,1,5,0-6,0,6,3-14,3,14,13-13,13,13
260,Presbyterian College,Big South,9-15,9,15,17-35,17,35,180,8-18,8,18,252,141,13-12,13,12,4-21,4,21,0-2,0,2,1-5,1,5,0-9,0,9,1-10,1,10,15-11,15,11
261,Evansville,Missouri Valley,10-17,10,17,17-37,17,37,236,7-20,7,20,274,226,7-11,7,11,10-26,10,26,0-0,0,0,2-3,2,3,0-5,0,5,6-19,6,19,9-10,9,10
262,UMass,Atlantic 10,7-23,7,23,14-34,14,34,201,7-11,7,11,228,244,5-14,5,14,9-18,9,18,0-2,0,2,0-0,0,0,0-2,0,2,6-17,6,17,8-15,8,15
263,Dartmouth,Ivy League,8-13,8,13,11-25,11,25,199,3-12,3,12,211,51,8-5,8,5,3-19,3,19,0-1,0,1,0-3,0,3,0-8,0,8,1-2,1,2,10-12,10,12
264,Akron,Mid-American,9-21,9,21,19-34,19,34,250,10-13,10,13,235,259,11-11,11,11,7-20,7,20,1-3,1,3,0-5,0,5,1-6,1,6,5-10,5,10,13-13,13,13
265,Queens,ASUN,7-23,7,23,9-44,9,44,86,2-21,2,21,242,18,4-19,4,19,5-25,5,25,0-0,0,0,0-7,0,7,0-10,0,10,3-14,3,14,6-13,6,13
266,Merrimack,MAAC,11-18,11,18,16-33-1,16,33,238,5-15-1,5,15,246,165,9-10,9,10,7-23-1,7,23,0-0,0,0,0-1-0,0,1,1-6-0,1,6,3-12-1,3,12,12-14-0,12,14
267,UMass-Lowell,America East,8-16,8,16,18-35,18,35,245,10-19,10,19,264,249,9-11,9,11,6-22,6,22,3-2,3,2,0-1,0,1,2-4,2,4,3-14,3,14,13-16,13,16
268,Arkansas-Pine Bluff,SWAC,17-9,17,9,19-34,19,34,279,2-23,2,23,298,217,9-6,9,6,10-26,10,26,0-2,0,2,0-1,0,1,0-5,0,5,0-17,0,17,19-11,19,11
269,Northern Colorado,The Summit League,9-21,9,21,18-33,18,33,258,9-12,9,12,190,216,8-14,8,14,10-19,10,19,0-0,0,0,0-0,0,0,0-3,0,3,7-12,7,12,11-18,11,18
270,Princeton,Ivy League,8-13,8,13,12-31,12,31,240,4-18,4,18,268,184,5-4,5,4,7-25,7,25,0-2,0,2,1-5,1,5,1-5,1,5,3-16,3,16,7-5,7,5
271,Georgetown,Big East,3-18,3,18,16-40,16,40,169,13-22,13,22,259,204,11-20,11,20,5-20,5,20,0-0,0,0,0-10,0,10,1-4,1,4,4-7,4,7,11-19,11,19
